"Latitude" "Longitude" "Elevation" "mintemp" "maxtemp" "prcpann" "temprang" "rwsaetswbs" "raetcwd" "prcpsum" "pdaetswb" "pcseas" "cumlswb" "rwsaet" "rswbaet" "rpetaet" "prcpwin" "prcpspr" "prcpfal" "pdwsaetswb" "mxtmpwin" "mxtmpsum" "mxtmpspr" "mxtmpfal" "mntmpwin" "mntmpsu" "mntmpspr" "mntmpfal" "cumlws" "cumlpet" "cumlcwd" "cumlaet"
"ind_0" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_1" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_2" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_3" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_4" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_5" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_6" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_7" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_8" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_9" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_10" 34.343487 -116.84196 1513 -1.76824 30.1639 319.733 31.9077 0.658601 0.507369 26.3933 156.225 0.87298 53.8721 1.25153 0.221997 3.04585 182.447 70.6839 40.2079 77.3267 11.009 29.0522 16.4044 21.0321 -1.53086 11.5277 2.18464 16.786 308.236 743.447 743.447 497.997
"ind_11" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_12" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_13" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_14" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_15" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_16" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_17" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_18" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_19" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_20" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_21" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_22" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_23" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_24" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_25" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_26" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
